gas/nogas,Xvox,Yvox,Zvox,Mvox
0.0,0,188,75,0.00590493061706525
0.0,0,190,76,0.00590493061706525
0.0,0,192,77,0.00590493061706525
0.0,0,193,78,0.00590493061706525
0.0,1,191,78,0.00590493061706525
0.0,1,192,74,0.00590493061706525
0.0,1,192,78,0.00590493061706525
0.0,2,187,77,0.00590493061706525
0.0,2,192,77,0.00590493061706525
0.0,2,192,78,0.00590493061706525
0.0,2,192,80,0.00590493061706525
0.0,2,192,83,0.00590493061706525
0.0,2,193,79,0.00590493061706525
0.0,3,180,73,0.00590493061706525
0.0,3,187,79,0.00590493061706525
0.0,3,192,74,0.00590493061706525
0.0,3,192,80,0.00590493061706525
0.0,3,192,81,0.00590493061706525
0.0,3,193,75,0.00590493061706525
0.0,3,193,76,0.00590493061706525
0.0,3,195,78,0.00590493061706525
0.0,3,196,78,0.00590493061706525
0.0,4,180,73,0.00590493061706525
0.0,4,180,74,0.00590493061706525
0.0,4,182,73,0.00590493061706525
0.0,4,185,73,0.00590493061706525
0.0,4,188,78,0.00590493061706525
0.0,4,189,79,0.00590493061706525
0.0,4,190,76,0.0118098612341305
0.0,4,191,78,0.00590493061706525
0.0,4,192,75,0.00590493061706525
0.0,4,196,75,0.00590493061706525
0.0,4,197,77,0.00590493061706525
0.0,5,169,78,0.00590493061706525
0.0,5,170,76,0.00590493061706525
0.0,5,170,79,0.00590493061706525
0.0,5,183,71,0.00590493061706525
0.0,5,185,73,0.00590493061706525
0.0,5,186,72,0.00590493061706525
0.0,5,188,74,0.00590493061706525
0.0,5,189,77,0.00590493061706525
0.0,5,190,64,0.00590493061706525
0.0,5,190,76,0.0118098612341305
0.0,5,191,65,0.00590493061706525
0.0,5,191,76,0.00590493061706525
0.0,5,191,78,0.00590493061706525
0.0,5,193,75,0.00590493061706525
0.0,5,194,77,0.00590493061706525
0.0,5,195,77,0.00590493061706525
0.0,5,196,75,0.00590493061706525
0.0,5,196,76,0.00590493061706525
0.0,5,198,74,0.00590493061706525
0.0,6,183,74,0.00590493061706525
0.0,6,184,72,0.0118098612341305
0.0,6,185,72,0.00590493061706525
0.0,6,185,76,0.00590493061706525
0.0,6,189,79,0.00590493061706525
0.0,6,192,64,0.00590493061706525
0.0,6,195,76,0.00590493061706525
0.0,6,195,77,0.00590493061706525
0.0,6,197,74,0.00590493061706525
0.0,6,197,76,0.00590493061706525
0.0,7,170,76,0.00590493061706525
0.0,7,178,70,0.00590493061706525
0.0,7,178,73,0.00590493061706525
0.0,7,179,73,0.00590493061706525
0.0,7,179,92,0.00590493061706525
0.0,7,184,77,0.00590493061706525
0.0,7,185,76,0.00590493061706525
0.0,7,187,74,0.00590493061706525
0.0,7,187,75,0.00590493061706525
0.0,7,188,75,0.00590493061706525
0.0,7,188,77,0.00590493061706525
0.0,7,189,77,0.00590493061706525
0.0,7,190,76,0.00590493061706525
0.0,7,190,78,0.00590493061706525
0.0,7,191,71,0.00590493061706525
0.0,7,191,75,0.00590493061706525
0.0,7,193,76,0.00590493061706525
0.0,7,193,82,0.00590493061706525
0.0,7,197,76,0.00590493061706525
0.0,8,171,74,0.00590493061706525
0.0,8,177,91,0.00590493061706525
0.0,8,178,91,0.00590493061706525
0.0,8,179,72,0.00590493061706525
0.0,8,183,72,0.00590493061706525
0.0,8,183,79,0.00590493061706525
0.0,8,183,80,0.00590493061706525
0.0,8,184,72,0.00590493061706525
0.0,8,190,79,0.00590493061706525
0.0,8,191,70,0.00590493061706525
0.0,8,192,66,0.00590493061706525
0.0,8,194,73,0.00590493061706525
0.0,8,196,76,0.00590493061706525
0.0,8,198,78,0.00590493061706525
0.0,9,169,76,0.00590493061706525
0.0,9,174,91,0.00590493061706525
0.0,9,176,91,0.00590493061706525
0.0,9,178,93,0.00590493061706525
0.0,9,180,72,0.00590493061706525
0.0,9,180,91,0.00590493061706525
0.0,9,181,92,0.00590493061706525
0.0,9,182,71,0.00590493061706525
0.0,9,183,77,0.00590493061706525
0.0,9,184,72,0.00590493061706525
0.0,9,184,75,0.00590493061706525
0.0,9,187,73,0.00590493061706525
0.0,9,188,70,0.00590493061706525
0.0,9,189,64,0.00590493061706525
0.0,9,189,76,0.00590493061706525
0.0,9,191,67,0.00590493061706525
0.0,9,191,72,0.00590493061706525
0.0,9,193,76,0.00590493061706525
0.0,9,193,80,0.00590493061706525
0.0,9,194,75,0.00590493061706525
0.0,9,195,73,0.00590493061706525
0.0,9,195,76,0.00590493061706525
0.0,10,166,108,0.00590493061706525
0.0,10,169,74,0.00590493061706525
0.0,10,170,75,0.00590493061706525
0.0,10,174,92,0.00590493061706525
0.0,10,175,99,0.00590493061706525
0.0,10,180,88,0.00590493061706525
0.0,10,180,89,0.00590493061706525
0.0,10,180,93,0.00590493061706525
0.0,10,181,72,0.00590493061706525
0.0,10,181,73,0.00590493061706525
0.0,10,184,75,0.00590493061706525
0.0,10,187,72,0.00590493061706525
0.0,10,189,64,0.00590493061706525
0.0,10,190,66,0.00590493061706525
0.0,10,190,76,0.00590493061706525
0.0,10,192,63,0.00590493061706525
0.0,10,193,66,0.00590493061706525
0.0,10,193,72,0.00590493061706525
0.0,10,194,81,0.00590493061706525
0.0,10,195,66,0.00590493061706525
0.0,10,195,67,0.00590493061706525
0.0,11,167,106,0.00590493061706525
0.0,11,172,105,0.00590493061706525
0.0,11,173,93,0.00590493061706525
0.0,11,174,99,0.00590493061706525
0.0,11,175,99,0.00590493061706525
0.0,11,176,89,0.00590493061706525
0.0,11,177,92,0.00590493061706525
0.0,11,178,89,0.00590493061706525
0.0,11,179,79,0.00590493061706525
0.0,11,180,71,0.00590493061706525
0.0,11,180,94,0.00590493061706525
0.0,11,181,78,0.00590493061706525
0.0,11,186,89,0.00590493061706525
0.0,11,187,82,0.00590493061706525
0.0,11,187,83,0.00590493061706525
0.0,11,188,89,0.00590493061706525
0.0,11,189,70,0.00590493061706525
0.0,11,189,74,0.00590493061706525
0.0,11,189,76,0.00590493061706525
0.0,11,190,63,0.00590493061706525
0.0,11,191,69,0.00590493061706525
0.0,11,192,65,0.00590493061706525
0.0,11,192,76,0.00590493061706525
0.0,11,192,82,0.00590493061706525
0.0,11,193,73,0.00590493061706525
0.0,11,193,78,0.00590493061706525
0.0,11,195,66,0.00590493061706525
0.0,11,195,74,0.00590493061706525
0.0,11,199,74,0.00590493061706525
0.0,11,201,85,0.00590493061706525
0.0,11,202,71,0.00590493061706525
0.0,12,168,103,0.0118098612341305
0.0,12,169,102,0.00590493061706525
0.0,12,169,103,0.00590493061706525
0.0,12,171,75,0.00590493061706525
0.0,12,171,105,0.00590493061706525
0.0,12,171,106,0.00590493061706525
0.0,12,173,87,0.00590493061706525
0.0,12,175,100,0.00590493061706525
0.0,12,177,91,0.00590493061706525
0.0,12,178,86,0.00590493061706525
0.0,12,179,92,0.00590493061706525
0.0,12,180,88,0.00590493061706525
0.0,12,182,74,0.00590493061706525
0.0,12,183,68,0.00590493061706525
0.0,12,183,78,0.00590493061706525
0.0,12,183,80,0.00590493061706525
0.0,12,185,69,0.00590493061706525
0.0,12,185,70,0.00590493061706525
0.0,12,186,89,0.00590493061706525
0.0,12,187,68,0.0118098612341305
0.0,12,187,71,0.00590493061706525
0.0,12,187,85,0.00590493061706525
0.0,12,188,64,0.00590493061706525
0.0,12,188,65,0.00590493061706525
0.0,12,188,71,0.00590493061706525
0.0,12,188,75,0.00590493061706525
0.0,12,189,66,0.00590493061706525
0.0,12,189,91,0.00590493061706525
0.0,12,190,72,0.00590493061706525
0.0,12,190,74,0.00590493061706525
0.0,12,191,75,0.00590493061706525
0.0,12,193,71,0.00590493061706525
0.0,12,193,82,0.00590493061706525
0.0,12,194,64,0.00590493061706525
0.0,12,195,77,0.00590493061706525
0.0,12,197,64,0.00590493061706525
0.0,12,197,68,0.00590493061706525
0.0,12,197,71,0.00590493061706525
0.0,12,198,72,0.00590493061706525
0.0,12,199,85,0.00590493061706525
0.0,12,200,83,0.00590493061706525
0.0,12,203,71,0.00590493061706525
0.0,13,170,104,0.00590493061706525
0.0,13,171,74,0.00590493061706525
0.0,13,171,102,0.00590493061706525
0.0,13,172,74,0.00590493061706525
0.0,13,173,86,0.00590493061706525
0.0,13,175,95,0.00590493061706525
0.0,13,176,84,0.00590493061706525
0.0,13,176,94,0.00590493061706525
0.0,13,177,84,0.00590493061706525
0.0,13,177,94,0.00590493061706525
0.0,13,178,83,0.00590493061706525
0.0,13,178,95,0.00590493061706525
0.0,13,179,64,0.00590493061706525
0.0,13,179,87,0.00590493061706525
0.0,13,179,94,0.00590493061706525
0.0,13,180,84,0.00590493061706525
0.0,13,181,72,0.00590493061706525
0.0,13,181,79,0.00590493061706525
0.0,13,182,65,0.00590493061706525
0.0,13,182,68,0.00590493061706525
0.0,13,182,80,0.00590493061706525
0.0,13,183,65,0.00590493061706525
0.0,13,183,79,0.00590493061706525
0.0,13,185,66,0.00590493061706525
0.0,13,185,73,0.00590493061706525
0.0,13,186,64,0.00590493061706525
0.0,13,186,71,0.0118098612341305
0.0,13,186,72,0.00590493061706525
0.0,13,186,73,0.00590493061706525
0.0,13,187,73,0.00590493061706525
0.0,13,187,82,0.00590493061706525
0.0,13,187,86,0.00590493061706525
0.0,13,187,87,0.00590493061706525
0.0,13,187,91,0.00590493061706525
0.0,13,188,82,0.00590493061706525
0.0,13,188,83,0.00590493061706525
0.0,13,189,62,0.00590493061706525
0.0,13,189,64,0.00590493061706525
0.0,13,189,70,0.00590493061706525
0.0,13,189,91,0.00590493061706525
0.0,13,190,71,0.00590493061706525
0.0,13,191,70,0.00590493061706525
0.0,13,191,72,0.00590493061706525
0.0,13,192,66,0.00590493061706525
0.0,13,192,75,0.00590493061706525
0.0,13,192,78,0.01771479185119575
0.0,13,192,80,0.00590493061706525
0.0,13,193,74,0.0118098612341305
0.0,13,193,77,0.00590493061706525
0.0,13,195,68,0.00590493061706525
0.0,13,196,64,0.00590493061706525
0.0,13,196,68,0.00590493061706525
0.0,13,196,70,0.00590493061706525
0.0,13,197,70,0.00590493061706525
0.0,13,198,69,0.00590493061706525
0.0,13,198,74,0.00590493061706525
0.0,13,199,70,0.00590493061706525
0.0,13,199,83,0.00590493061706525
0.0,13,201,71,0.00590493061706525
0.0,13,201,75,0.00590493061706525
0.0,13,202,72,0.00590493061706525
0.0,13,203,71,0.00590493061706525
0.0,13,203,74,0.00590493061706525
0.0,14,167,104,0.00590493061706525
0.0,14,168,96,0.00590493061706525
0.0,14,169,96,0.00590493061706525
0.0,14,169,102,0.00590493061706525
0.0,14,170,101,0.00590493061706525
0.0,14,171,98,0.00590493061706525
0.0,14,171,99,0.00590493061706525
0.0,14,171,100,0.00590493061706525
0.0,14,172,78,0.00590493061706525
0.0,14,172,86,0.00590493061706525
0.0,14,173,74,0.00590493061706525
0.0,14,173,76,0.00590493061706525
0.0,14,173,86,0.00590493061706525
0.0,14,173,87,0.00590493061706525
0.0,14,173,89,0.00590493061706525
0.0,14,173,99,0.00590493061706525
0.0,14,174,75,0.00590493061706525
0.0,14,175,90,0.00590493061706525
0.0,14,175,100,0.00590493061706525
0.0,14,176,101,0.00590493061706525
0.0,14,177,84,0.00590493061706525
0.0,14,179,68,0.00590493061706525
0.0,14,181,68,0.00590493061706525
0.0,14,182,72,0.00590493061706525
0.0,14,182,79,0.00590493061706525
0.0,14,182,89,0.00590493061706525
0.0,14,183,63,0.00590493061706525
0.0,14,184,75,0.00590493061706525
0.0,14,184,78,0.00590493061706525
0.0,14,184,82,0.00590493061706525
0.0,14,184,83,0.00590493061706525
0.0,14,184,84,0.00590493061706525
0.0,14,185,76,0.00590493061706525
0.0,14,185,77,0.00590493061706525
0.0,14,186,66,0.00590493061706525
0.0,14,186,70,0.00590493061706525
0.0,14,186,71,0.00590493061706525
0.0,14,186,77,0.00590493061706525
0.0,14,187,58,0.00590493061706525
0.0,14,187,67,0.00590493061706525
0.0,14,188,59,0.00590493061706525
0.0,14,188,66,0.00590493061706525
0.0,14,188,73,0.00590493061706525
0.0,14,188,76,0.00590493061706525
0.0,14,189,74,0.00590493061706525
0.0,14,190,61,0.00590493061706525
0.0,14,190,62,0.00590493061706525
0.0,14,190,67,0.00590493061706525
0.0,14,190,73,0.00590493061706525
0.0,14,192,74,0.00590493061706525
0.0,14,193,68,0.00590493061706525
0.0,14,193,69,0.00590493061706525
0.0,14,194,67,0.00590493061706525
0.0,14,196,67,0.00590493061706525
0.0,14,198,75,0.00590493061706525
0.0,14,198,83,0.00590493061706525
0.0,14,199,71,0.00590493061706525
0.0,14,199,72,0.00590493061706525
0.0,14,202,72,0.00590493061706525
0.0,14,203,76,0.00590493061706525
0.0,15,168,100,0.00590493061706525
0.0,15,172,74,0.00590493061706525
0.0,15,172,95,0.00590493061706525
0.0,15,174,92,0.00590493061706525
0.0,15,175,89,0.00590493061706525
0.0,15,176,69,0.00590493061706525
0.0,15,176,89,0.00590493061706525
0.0,15,177,68,0.00590493061706525
0.0,15,177,87,0.00590493061706525
0.0,15,177,88,0.0118098612341305
0.0,15,178,67,0.00590493061706525
0.0,15,178,68,0.00590493061706525
0.0,15,178,87,0.00590493061706525
0.0,15,178,88,0.00590493061706525
0.0,15,179,82,0.00590493061706525
0.0,15,180,78,0.00590493061706525
0.0,15,181,63,0.00590493061706525
0.0,15,182,67,0.00590493061706525
0.0,15,183,66,0.00590493061706525
0.0,15,183,73,0.00590493061706525
0.0,15,184,68,0.00590493061706525
0.0,15,185,68,0.00590493061706525
0.0,15,185,73,0.00590493061706525
0.0,15,185,87,0.00590493061706525
0.0,15,187,73,0.00590493061706525
0.0,15,188,71,0.0118098612341305
0.0,15,188,72,0.00590493061706525
0.0,15,188,76,0.00590493061706525
0.0,15,188,83,0.00590493061706525
0.0,15,189,60,0.00590493061706525
0.0,15,189,71,0.00590493061706525
0.0,15,189,84,0.00590493061706525
0.0,15,192,78,0.00590493061706525
0.0,15,193,66,0.00590493061706525
0.0,15,193,75,0.00590493061706525
0.0,15,194,64,0.00590493061706525
0.0,15,194,70,0.00590493061706525
0.0,15,194,80,0.00590493061706525
0.0,15,195,70,0.00590493061706525
0.0,15,195,81,0.00590493061706525
0.0,15,196,69,0.00590493061706525
0.0,15,196,75,0.00590493061706525
0.0,15,196,79,0.00590493061706525
0.0,15,197,64,0.00590493061706525
0.0,15,198,71,0.00590493061706525
0.0,15,198,84,0.00590493061706525
0.0,15,199,76,0.00590493061706525
0.0,15,199,82,0.00590493061706525
0.0,15,201,78,0.00590493061706525
0.0,15,201,80,0.00590493061706525
0.0,15,202,74,0.00590493061706525
0.0,15,204,80,0.00590493061706525
0.0,15,205,79,0.00590493061706525
0.0,15,205,80,0.00590493061706525
0.0,16,168,106,0.00590493061706525
0.0,16,169,98,0.00590493061706525
0.0,16,171,98,0.00590493061706525
0.0,16,172,75,0.00590493061706525
0.0,16,172,78,0.00590493061706525
0.0,16,172,99,0.00590493061706525
0.0,16,173,86,0.00590493061706525
0.0,16,173,93,0.00590493061706525
0.0,16,173,94,0.00590493061706525
0.0,16,173,98,0.00590493061706525
0.0,16,174,72,0.00590493061706525
0.0,16,174,96,0.00590493061706525
0.0,16,175,71,0.00590493061706525
0.0,16,175,91,0.00590493061706525
0.0,16,176,91,0.00590493061706525
0.0,16,176,92,0.00590493061706525
0.0,16,176,95,0.00590493061706525
0.0,16,176,96,0.00590493061706525
0.0,16,176,99,0.00590493061706525
0.0,16,177,79,0.00590493061706525
0.0,16,177,94,0.00590493061706525
0.0,16,178,69,0.00590493061706525
0.0,16,179,68,0.00590493061706525
0.0,16,179,82,0.00590493061706525
0.0,16,179,94,0.00590493061706525
0.0,16,180,79,0.00590493061706525
0.0,16,180,80,0.00590493061706525
0.0,16,181,75,0.00590493061706525
0.0,16,181,77,0.00590493061706525
0.0,16,181,85,0.00590493061706525
0.0,16,182,85,0.00590493061706525
0.0,16,182,103,0.00590493061706525
0.0,16,183,74,0.00590493061706525
0.0,16,183,77,0.00590493061706525
0.0,16,183,78,0.00590493061706525
0.0,16,183,82,0.00590493061706525
0.0,16,184,62,0.0118098612341305
0.0,16,185,65,0.0118098612341305
0.0,16,185,73,0.00590493061706525
0.0,16,185,88,0.00590493061706525
0.0,16,186,69,0.00590493061706525
0.0,16,186,76,0.00590493061706525
0.0,16,186,80,0.00590493061706525
0.0,16,187,73,0.0118098612341305
0.0,16,188,61,0.00590493061706525
0.0,16,189,68,0.00590493061706525
0.0,16,189,72,0.00590493061706525
0.0,16,190,73,0.00590493061706525
0.0,16,191,68,0.00590493061706525
0.0,16,191,72,0.0118098612341305
0.0,16,191,73,0.00590493061706525
0.0,16,191,75,0.00590493061706525
0.0,16,193,73,0.00590493061706525
0.0,16,194,63,0.00590493061706525
0.0,16,194,77,0.00590493061706525
0.0,16,195,67,0.00590493061706525
0.0,16,198,72,0.00590493061706525
0.0,16,198,81,0.0118098612341305
0.0,16,199,72,0.00590493061706525
0.0,16,202,69,0.00590493061706525
0.0,16,202,76,0.00590493061706525
0.0,16,205,68,0.00590493061706525
0.0,16,205,79,0.00590493061706525
0.0,16,207,79,0.00590493061706525
0.0,17,167,109,0.00590493061706525
0.0,17,168,100,0.00590493061706525
0.0,17,169,98,0.01771479185119575
0.0,17,169,106,0.00590493061706525
0.0,17,169,113,0.00590493061706525
0.0,17,171,89,0.00590493061706525
0.0,17,171,94,0.00590493061706525
0.0,17,171,108,0.0118098612341305
0.0,17,172,71,0.00590493061706525
0.0,17,172,96,0.00590493061706525
0.0,17,174,76,0.00590493061706525
0.0,17,174,92,0.00590493061706525
0.0,17,174,93,0.00590493061706525
0.0,17,174,99,0.0118098612341305
0.0,17,175,73,0.00590493061706525
0.0,17,175,77,0.00590493061706525
0.0,17,175,88,0.00590493061706525
0.0,17,175,94,0.00590493061706525
